673	스윗소로우 (SWEET SORROW)	남성	그룹	14736
674	데프콘	남성	솔로	7136
675	레인보우 픽시	여성	그룹	495
676	50kg	남성	그룹	106
677	god	남성	그룹	56583
678	정준일	남성	솔로	61470
679	오반 (OVAN)	남성	솔로	32666
680	윤비 (YunB)	남성	솔로	3165
681	Sondia	여성	솔로	6968
682	나비	여성	솔로	16376
683	김종국	남성	솔로	11127
684	허니지 (Honey-G)	남성	그룹	1453
685	뚱스	남성	그룹	353
686	타이니지	여성	그룹	884
687	S.M. THE BALLAD	혼성	그룹	5822
688	최자	남성	솔로	3408
689	더 포지션	남성	솔로	3557
690	하동균	남성	솔로	19503
691	GOT7 (갓세븐)	남성	그룹	95026
692	개리	남성	솔로	38630
693	보이프렌드	남성	그룹	6699
694	딥플로우	남성	솔로	9659
695	40	남성	솔로	30984
696	지선	여성	솔로	2469
697	하림	남성	솔로	5826
698	015B	남성	그룹	8924
699	김필	남성	솔로	46258
700	오대천왕 (정형돈, 밴드 혁오)	남성	그룹	2576
701	나다 (NADA)	여성	솔로	3148
702	은지원	남성	솔로	20916
703	스텔라	여성	그룹	5283
704	윤두준	남성	솔로	35857
705	코드 쿤스트 (CODE KUNST)	남성	솔로	33935
706	진운	남성	솔로	962
707	클래지	남성	솔로	319
708	KATIE	여성	솔로	12359
709	미스에스	여성	그룹	3753
710	제아	여성	솔로	3996
711	일 락	남성	솔로	1335
712	하현우 (국카스텐)	남성	솔로	29828
713	유나킴	여성	솔로	2675
714	장덕철	남성	그룹	13660
715	슬리피	남성	솔로	4257
716	KCM	남성	솔로	8106
717	에디킴	남성	솔로	31698
718	Khundi Panda	남성	솔로	8434
719	레인보우	여성	그룹	7235
720	범키	남성	솔로	28191
721	무한도전	남성	그룹	18954
722	인크레더블	남성	솔로	2010
723	CHEEZE (치즈)	여성	솔로	85794
